Year,State,Type,Length,Expense,Value,Region
2019,Oregon,Public Out-of-State,4-year,Room/Board,12299,West
2017,Vermont,Public Out-of-State,2-year,Fees/Tuition,12294,Northeast
2015,New Jersey,Public In-State,4-year,Room/Board,12283,Northeast
2015,New Jersey,Public Out-of-State,4-year,Room/Board,12283,Northeast
2018,Colorado,Private,4-year,Room/Board,12280,West
2019,North Carolina,Private,4-year,Room/Board,12278,Southeast
2015,Pennsylvania,Private,4-year,Room/Board,12271,Northeast
2014,New Jersey,Public In-State,4-year,Fees/Tuition,12266,Northeast
2013,California,Private,4-year,Room/Board,12254,West
2015,Hawaii,Private,4-year,Room/Board,12251,West
2019,Rhode Island,Public In-State,4-year,Room/Board,12250,Northeast
2019,Rhode Island,Public Out-of-State,4-year,Room/Board,12250,Northeast
2016,Connecticut,Public In-State,4-year,Room/Board,12245,Northeast
2016,Connecticut,Public Out-of-State,4-year,Room/Board,12245,Northeast
2020,Indiana,Private,4-year,Room/Board,12241,Midwest
2018,Rhode Island,Public In-State,4-year,Fees/Tuition,12239,Northeast
2013,Maryland,Private,4-year,Room/Board,12238,Northeast
2019,Washington,Public In-State,4-year,Room/Board,12236,West
2019,Washington,Public Out-of-State,4-year,Room/Board,12236,West
2014,New Jersey,Private,4-year,Room/Board,12228,Northeast
2014,California,Private,4-year,Room/Board,12213,West
2017,West Virginia,Private,4-year,Fees/Tuition,12206,Southeast
2019,Utah,Public Out-of-State,2-year,Fees/Tuition,12206,West
2015,Arizona,Private,4-year,Fees/Tuition,12201,Southwest
2014,Hawaii,Private,4-year,Room/Board,12193,West
2013,Pennsylvania,Public In-State,4-year,Fees/Tuition,12184,Northeast
2021,Ohio,Private,4-year,Room/Board,12184,Midwest
2021,Virginia,Private,4-year,Room/Board,12183,Southeast
2013,Rhode Island,Private,4-year,Room/Board,12174,Northeast
2018,Rhode Island,Public Out-of-State,2-year,Fees/Tuition,12156,Northeast
2019,Rhode Island,Public Out-of-State,2-year,Fees/Tuition,12156,Northeast
2017,South Carolina,Public In-State,4-year,Fees/Tuition,12153,Southeast
2015,Wyoming,Public Out-of-State,4-year,Fees/Tuition,12152,West
2017,Massachusetts,Public In-State,4-year,Room/Board,12142,Northeast
2017,Massachusetts,Public Out-of-State,4-year,Room/Board,12142,Northeast
2013,California,Public In-State,4-year,Room/Board,12137,West
2013,California,Public Out-of-State,4-year,Room/Board,12137,West
2017,Virginia,Public In-State,4-year,Fees/Tuition,12126,Southeast
2014,Kentucky,Public Out-of-State,2-year,Fees/Tuition,12125,Southeast
2017,Delaware,Public In-State,4-year,Room/Board,12121,Northeast
2017,Delaware,Public Out-of-State,4-year,Room/Board,12121,Northeast
2019,Florida,Private,4-year,Room/Board,12121,Southeast
2019,Washington,Private,4-year,Room/Board,12120,West
2013,New Hampshire,Private,4-year,Room/Board,12107,Northeast
2016,Connecticut,Public Out-of-State,2-year,Fees/Tuition,12100,Northeast
2018,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,12092,
2019,Ohio,Public In-State,4-year,Room/Board,12085,Midwest
2019,Ohio,Public Out-of-State,4-year,Room/Board,12085,Midwest
2017,Illinois,Private,4-year,Room/Board,12084,Midwest
2019,Vermont,Public In-State,4-year,Room/Board,12077,Northeast
2019,Vermont,Public Out-of-State,4-year,Room/Board,12077,Northeast
2018,Arizona,Public In-State,4-year,Room/Board,12072,Southwest
2018,Arizona,Public Out-of-State,4-year,Room/Board,12072,Southwest
2018,South Dakota,Public Out-of-State,4-year,Fees/Tuition,12060,Midwest
2021,Virginia,Public Out-of-State,2-year,Fees/Tuition,12059,Southeast
2020,New Hampshire,Public In-State,4-year,Room/Board,12055,Northeast
2020,New Hampshire,Public Out-of-State,4-year,Room/Board,12055,Northeast
2018,Rhode Island,Public In-State,4-year,Room/Board,12041,Northeast
2018,Rhode Island,Public Out-of-State,4-year,Room/Board,12041,Northeast
2018,Utah,Public Out-of-State,2-year,Fees/Tuition,12020,West
2020,Texas,Private,4-year,Room/Board,12017,Southwest
2014,New Jersey,Public In-State,4-year,Room/Board,11980,Northeast
2014,New Jersey,Public Out-of-State,4-year,Room/Board,11980,Northeast
2019,Indiana,Private,4-year,Room/Board,11980,Midwest
2018,Colorado,Public In-State,4-year,Room/Board,11974,West
2018,Colorado,Public Out-of-State,4-year,Room/Board,11974,West
2020,Nevada,Public In-State,4-year,Room/Board,11964,West
2020,Nevada,Public Out-of-State,4-year,Room/Board,11964,West
2016,Vermont,Public Out-of-State,2-year,Fees/Tuition,11958,Northeast
2013,New Jersey,Public In-State,4-year,Fees/Tuition,11955,Northeast
2019,Delaware,Private,4-year,Room/Board,11952,Northeast
2018,Oregon,Private,4-year,Room/Board,11943,West
2014,Pennsylvania,Private,4-year,Room/Board,11926,Northeast
2016,Louisiana,Private,4-year,Room/Board,11918,Southeast
2019,Hawaii,Public In-State,4-year,Room/Board,11914,West
2019,Hawaii,Public Out-of-State,4-year,Room/Board,11914,West
2018,North Carolina,Private,4-year,Room/Board,11910,Southeast
2015,Connecticut,Public In-State,4-year,Room/Board,11900,Northeast
2015,Connecticut,Public Out-of-State,4-year,Room/Board,11900,Northeast
2017,Georgia,Private,4-year,Room/Board,11897,Southeast
2016,Delaware,Public In-State,4-year,Room/Board,11896,Northeast
2016,Delaware,Public Out-of-State,4-year,Room/Board,11896,Northeast
2017,Michigan,Public In-State,4-year,Fees/Tuition,11890,Midwest
2018,Maryland,Public In-State,4-year,Room/Board,11888,Northeast
2018,Maryland,Public Out-of-State,4-year,Room/Board,11888,Northeast
2013,Illinois,Public In-State,4-year,Fees/Tuition,11882,Midwest
2021,New Mexico,Private,4-year,Room/Board,11878,Southwest
2020,Ohio,Private,4-year,Room/Board,11861,Midwest
2017,South Dakota,Public Out-of-State,4-year,Fees/Tuition,11845,Midwest
2013,New York,Public In-State,4-year,Room/Board,11841,Northeast
2013,New York,Public Out-of-State,4-year,Room/Board,11841,Northeast
2020,Pennsylvania,Public In-State,4-year,Room/Board,11839,Northeast
2020,Pennsylvania,Public Out-of-State,4-year,Room/Board,11839,Northeast
2018,Delaware,Private,4-year,Room/Board,11831,Northeast
2021,Virginia,Public In-State,4-year,Room/Board,11830,Southeast
2021,Virginia,Public Out-of-State,4-year,Room/Board,11830,Southeast
2015,Vermont,Private,4-year,Room/Board,11820,Northeast
2013,New Jersey,Public In-State,4-year,Room/Board,11819,Northeast
2013,New Jersey,Public Out-of-State,4-year,Room/Board,11819,Northeast
2019,New Hampshire,Public In-State,4-year,Room/Board,11816,Northeast
2019,New Hampshire,Public Out-of-State,4-year,Room/Board,11816,Northeast
2021,Hawaii,Public In-State,4-year,Room/Board,11815,West
2021,Hawaii,Public Out-of-State,4-year,Room/Board,11815,West
2018,Florida,Private,4-year,Room/Board,11804,Southeast
2016,Pennsylvania,Public Out-of-State,2-year,Fees/Tuition,11801,Northeast
2019,Texas,Private,4-year,Room/Board,11792,Southwest
2016,South Carolina,Public In-State,4-year,Fees/Tuition,11791,Southeast
2013,Kentucky,Public Out-of-State,2-year,Fees/Tuition,11789,Southeast
2015,Maine,Private,4-year,Room/Board,11786,Northeast
2017,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,11756,
2017,Rhode Island,Public In-State,4-year,Room/Board,11749,Northeast
2017,Rhode Island,Public Out-of-State,4-year,Room/Board,11749,Northeast
2020,Minnesota,Public In-State,4-year,Fees/Tuition,11748,Midwest
2020,Hawaii,Public In-State,4-year,Room/Board,11745,West
2020,Hawaii,Public Out-of-State,4-year,Room/Board,11745,West
2015,Pennsylvania,Public Out-of-State,2-year,Fees/Tuition,11732,Northeast
2017,Utah,Public Out-of-State,2-year,Fees/Tuition,11728,West
2017,Connecticut,Public In-State,4-year,Fees/Tuition,11726,Northeast
2016,West Virginia,Private,4-year,Fees/Tuition,11721,Southeast
2016,Massachusetts,Public In-State,4-year,Room/Board,11719,Northeast
2016,Massachusetts,Public Out-of-State,4-year,Room/Board,11719,Northeast
2018,Washington,Private,4-year,Room/Board,11711,West
2017,Colorado,Private,4-year,Room/Board,11710,West
2016,Georgia,Private,4-year,Room/Board,11709,Southeast
2016,Michigan,Public In-State,4-year,Fees/Tuition,11708,Midwest
2016,Illinois,Private,4-year,Room/Board,11693,Midwest
2018,Vermont,Public In-State,4-year,Room/Board,11679,Northeast
2018,Vermont,Public Out-of-State,4-year,Room/Board,11679,Northeast
2021,Illinois,Public In-State,4-year,Room/Board,11673,Midwest
2021,Illinois,Public Out-of-State,4-year,Room/Board,11673,Midwest
2014,Rhode Island,Private,4-year,Room/Board,11671,Northeast
2016,Delaware,Public In-State,4-year,Fees/Tuition,11670,Northeast
2016,Massachusetts,Public In-State,4-year,Fees/Tuition,11670,Northeast
2016,Virginia,Public In-State,4-year,Fees/Tuition,11669,Southeast
2015,Delaware,Public In-State,4-year,Room/Board,11668,Northeast
2015,Delaware,Public Out-of-State,4-year,Room/Board,11668,Northeast
2016,California,Private,4-year,Room/Board,11663,West
2019,Nevada,Public In-State,4-year,Room/Board,11659,West
2019,Nevada,Public Out-of-State,4-year,Room/Board,11659,West
2013,Arizona,Private,4-year,Fees/Tuition,11650,Southwest
2018,Ohio,Public In-State,4-year,Room/Board,11648,Midwest
2018,Ohio,Public Out-of-State,4-year,Room/Board,11648,Midwest
2013,New Jersey,Private,4-year,Room/Board,11636,Northeast
2021,Nevada,Public In-State,4-year,Room/Board,11631,West
2021,Nevada,Public Out-of-State,4-year,Room/Board,11631,West
2017,Nevada,Public In-State,4-year,Room/Board,11625,West
2017,Nevada,Public Out-of-State,4-year,Room/Board,11625,West
2015,Vermont,Public Out-of-State,2-year,Fees/Tuition,11622,Northeast
2018,New Hampshire,Public In-State,4-year,Room/Board,11621,Northeast
2018,New Hampshire,Public Out-of-State,4-year,Room/Board,11621,Northeast
2015,Georgia,Private,4-year,Room/Board,11614,Southeast
2017,Oregon,Private,4-year,Room/Board,11614,West
2017,Delaware,Private,4-year,Room/Board,11613,Northeast
2017,North Carolina,Private,4-year,Room/Board,11611,Southeast
2020,New Mexico,Private,4-year,Room/Board,11599,Southwest
2016,South Dakota,Public Out-of-State,4-year,Fees/Tuition,11592,Midwest
2017,Colorado,Public In-State,4-year,Room/Board,11591,West
2017,Colorado,Public Out-of-State,4-year,Room/Board,11591,West
2017,Oregon,Public In-State,4-year,Room/Board,11585,West
2017,Oregon,Public Out-of-State,4-year,Room/Board,11585,West
2017,Maryland,Public In-State,4-year,Room/Board,11564,Northeast
2017,Maryland,Public Out-of-State,4-year,Room/Board,11564,Northeast
2015,Connecticut,Public Out-of-State,2-year,Fees/Tuition,11561,Northeast
2021,Tennessee,Private,4-year,Room/Board,11549,Southeast
2014,Wyoming,Public Out-of-State,4-year,Fees/Tuition,11532,West
2020,Virginia,Public Out-of-State,2-year,Fees/Tuition,11529,Southeast
2014,Maine,Private,4-year,Room/Board,11523,Northeast
2013,Hawaii,Private,4-year,Room/Board,11522,West
